Tissue,mean,std,count
Brain - Cortex,2.9069767441860463,8.926665811886307,86
Colon - Sigmoid,4.654088050314465,12.9644047354322,159
Colon - Transverse,5.212765957446808,11.902340883699145,188
Lung,3.6094674556213016,10.606103603269197,169
Skin - Not Sun Exposed (Suprapubic),3.45679012345679,11.546341285710945,162
Skin - Sun Exposed (Lower leg),4.3076923076923075,10.349943588057446,195
